Title,Vote_Average,Vote_Count,Weighted_Average
darlin',5.4,124.0,5.958681625195855
the lion king,8.256,17845.0,8.176608869047016
once upon a time in hollywood,7.441,13054.0,7.373681667910632
skin,7.0,384.0,6.403788624673159
the red sea diving resort,6.8,783.0,6.45973379931556
fast & furious presents: hobbs & shaw,6.865,6997.0,6.794834773758382
a score to settle,5.9,475.0,5.994841231795205
the operative,5.839,208.0,6.009231446931104
dora and the lost city of gold,6.654,1659.0,6.483717995021687
the kitchen,6.168,654.0,6.114399705744343
the art of racing in the rain,8.206,1434.0,7.523287647531135
scary stories to tell in the dark,6.499,2567.0,6.40856540327634
the peanut butter falcon,7.391,1322.0,6.9440237000027665
after the wedding,7.144,406.0,6.470313392570176
light of my life,6.454,506.0,6.2307119136101266
the angry birds movie 2,7.085,1626.0,6.78649965609996
good boys,6.855,1792.0,6.639217388466901
blinded by the light,6.927,560.0,6.455864398703666
"where'd you go, bernadette",6.612,634.0,6.32944878098582
47 meters down: uncaged,5.691,1372.0,5.8127547553406025
gwen,5.518,56.0,6.020111860062686
ready or not,7.062,4230.0,6.92527616538888
angel has fallen,6.577,3368.0,6.491562459238611
brittany runs a marathon,6.6,464.0,6.282180961556887
overcomer,7.7,253.0,6.511043564903044
jacob's ladder,7.357,1573.0,6.970198042980611
burn,6.064,272.0,6.062633981322197
official secrets,7.2,924.0,6.721702139526668
don't let go,6.848,361.0,6.337265965475761
itsy bitsy,4.852,61.0,5.961101519022585
the fanatic,4.497,291.0,5.588158387518741
"debunkers, inc.",6.0,1.0,6.061986900753367
it chapter two,6.845,8483.0,6.7876901792205295
satanic panic,5.315,120.0,5.948599000513303
strange but true,5.991,176.0,6.047292210881217
the obituary of tunde johnson,5.8,20.0,6.0544829136311735
the goldfinch,7.172,836.0,6.678210631079356
hustlers,6.479,2862.0,6.3999125737274944
the sound of silence,5.8,34.0,6.049422173871463
monos,6.661,372.0,6.275897514784559
tall girl,6.33,1836.0,6.258369198086796
ad astra,6.107,6435.0,6.102763998649614
downton abbey,7.141,1094.0,6.731205901590425
rambo: last blood,6.525,3750.0,6.454828780634731
bloodline,4.681,35.0,5.993515192064552
running with the devil,5.452,284.0,5.880462484701792
fractured,6.725,2423.0,6.58139935674281
abominable,7.476,1978.0,7.118248191240751
the laundromat,6.001,1177.0,6.023156583868711
judy,6.7,1145.0,6.464514165512678
prey,7.7,6381.0,7.544361538846336
