Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
pm narendra modi,boman irani vivek oberoi barkha bisht darshan kumaar zarina wahab manoj joshi suresh oberoi prashant narayanan yatin karyekar rajendra gupta anjan srivastav imran hasnee jay bhatt akshat r saluja,drama history,4.278,9.0,boman irani vivek oberoi barkha bisht darshan kumaar zarina wahab manoj joshi suresh oberoi prashant narayanan yatin karyekar rajendra gupta anjan srivastav imran hasnee jay bhatt akshat r saluja drama history
de de pyaar de,ajay devgn tabu rakul preet singh jimmy sheirgill alok nath madhumalti kapoor harry anton gergo baranyi sammy john heaney bhavin bhanushali gandharv dewan gulnaaz khan kumud mishra sunny singh nijjar,romance comedy,6.0,45.0,ajay devgn tabu rakul preet singh jimmy sheirgill alok nath madhumalti kapoor harry anton gergo baranyi sammy john heaney bhavin bhanushali gandharv dewan gulnaaz khan kumud mishra sunny singh nijjar romance comedy
india's most wanted,arjun kapoor sudev nair rajesh sharma prasanth santilal mukherjee,action thriller,5.0,12.0,arjun kapoor sudev nair rajesh sharma prasanth santilal mukherjee action thriller
yeh hai india,gavie chahal mohan agashe mohan joshi lom harsh,comedy,4.833,15.0,gavie chahal mohan agashe mohan joshi lom harsh comedy
khamoshi,prabhu deva tamannaah bhatia bhoomika chawla,drama horror,4.588,17.0,prabhu deva tamannaah bhatia bhoomika chawla drama horror
kabir singh,shahid kapoor kiara advani soham majumdar arjan bajwa suresh oberoi kamini kaushal adil hussain nikita dutta amit sharma anurag arora dolly mattoo aanchal chauhan suparna marwah swati seth,drama romance,6.5,131.0,shahid kapoor kiara advani soham majumdar arjan bajwa suresh oberoi kamini kaushal adil hussain nikita dutta amit sharma anurag arora dolly mattoo aanchal chauhan suparna marwah swati seth drama romance
article 15,ayushmann khurrana nassar manoj pahwa kumud mishra isha talwar sayani gupta mohammed zeeshan ayyub subhrajyoti barat sushil pandey aakash dabhade ashish verma ronjini chakraborty veen sumbul touqueer,crime drama thriller,7.5,142.0,ayushmann khurrana nassar manoj pahwa kumud mishra isha talwar sayani gupta mohammed zeeshan ayyub subhrajyoti barat sushil pandey aakash dabhade ashish verma ronjini chakraborty veen sumbul touqueer crime drama thriller
one day: justice delivered,anupam kher kumud mishra esha gupta zakir hussain rajesh sharma murli sharma deepshika nagpal,crime thriller drama,3.9,7.0,anupam kher kumud mishra esha gupta zakir hussain rajesh sharma murli sharma deepshika nagpal crime thriller drama
hume tumse pyaar kitna,karanvir bohra priya banerjee,drama thriller,4.0,1.0,karanvir bohra priya banerjee drama thriller
super 30,hrithik roshan mrunal thakur nandish singh virendra saxena sadhana singh aditya srivastava sanket deshpande pankaj tripathi vaibhav gupta ali haji rajesh sharma deepali kumar chittaranjan giri ganesh kumar,drama,7.3,96.0,hrithik roshan mrunal thakur nandish singh virendra saxena sadhana singh aditya srivastava sanket deshpande pankaj tripathi vaibhav gupta ali haji rajesh sharma deepali kumar chittaranjan giri ganesh kumar drama
