genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Action, Comedy, Drama",Housefull 2,"Akshay Kumar, John Abraham, Asin Thottumkal, Jacqueline Fernandez",Sajid Khan,"Comedy, Romance",5.453,106.0
"Action, Crime, Thriller",Baby,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",Neeraj Pandey,"Action, Thriller",6.722,163.0
"Action, Drama, Thriller",Code Name: Tiranga,"Parineeti Chopra, Harrdy Sandhu, Sharad Kelkar, Dibyendu Bhattacharya",Ribhu Dasgupta,"Action, Thriller",4.4,7.0
"Comedy, Romance",Mujhse Shaadi Karogi,"Salman Khan, Akshay Kumar, Priyanka Chopra Jonas, Amrish Puri",David Dhawan,"Romance, Comedy",6.495,105.0
"Action, Crime, Drama",Ajnabee,"Akshay Kumar, Bobby Deol, Kareena Kapoor, Bipasha Basu","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Action, Crime, Drama, Thriller",5.561,41.0
"Comedy, Drama, Romance",Bachna Ae Haseeno,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba",Siddharth Anand,"Drama, Comedy, Romance",6.063,79.0
"Comedy, Drama, Family",Chef,"Saif Ali Khan, Padmapriya, Svar Kamble, Chandan Roy Sanyal",Raja Menon,Comedy,7.115,3179.0
"Comedy, Drama, Romance",Dev.D,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya",Anurag Kashyap,"Comedy, Drama, Romance",6.9,124.0
"Action, Thriller",Spy,"Nikhil Siddharth, Iswarya Menon, Aryan Rajesh, Abhinav Gomatam",Garry Bh,"Action, Comedy, Crime",6.835,5884.0
"Action, Drama, Thriller",Mission Kashmir,"Sanjay Dutt, Hrithik Roshan, Preity G Zinta, Sonali Kulkarni",Vidhu Vinod Chopra,"Action, Drama, Thriller",6.283,46.0
"Drama, Musical, Romance",Pyaasa,"Guru Dutt, Waheeda Rehman, Mala Sinha, Rehman Khan",Guru Dutt,"Drama, Romance",3.0,1.0
Drama,Jee Le Zaraa,"Priyanka Chopra Jonas, Alia Bhatt, Katrina Kaif, Ishaan Khattar",Farhan Akhtar,"Comedy, Drama",0.0,0.0
"Comedy, Drama",Jayeshbhai Jordaar,"Pratik Nanda, Ranveer Singh, Shalini Pandey, Boman Irani",Divyang Thakkar,"Comedy, Drama",5.8,18.0
"Action, Drama, Sci-Fi",Pichaikkaran 2,"Vijay Antony, Kavya Thapar, Y.G. Mahendran, Radha Ravi",Vijay Antony,"Action, Drama, Science Fiction",4.333,9.0
Drama,Hazaaron Khwaishein Aisi,"Kay Kay Menon, Shiney Ahuja, Chitrangda Singh, Ram Kapoor",Sudhir Mishra,Drama,7.2,14.0
"Action, Adventure, Romance",The Lovers,"Josh Hartnett, Bipasha Basu, Tamsin Egerton, James Mackay",Roland Joffé,"Action, Adventure, Science Fiction, Romance",4.8,65.0
"Biography, Crime, Drama",The Big Bull,"Abhishek Bachchan, Nikita Dutta, Ileana D'Cruz, Sanjeev Pandey",Kookie Gulati,"Crime, Drama",5.0,10.0
"Action, Comedy, Crime",Heropanti 2,"Kriti Sanon, Nawazuddin Siddiqui, Tiger Shroff, Amber Doig-Thorne",Ahmed Khan,"Action, Drama, Romance",4.263,20.0
"Crime, Drama, Mystery",Te3n,"Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Tota Roy Chowdhury",Ribhu Dasgupta,"Mystery, Thriller, Crime",6.963,95.0
"Comedy, Drama, Romance",Hungama 2,"Paresh Rawal, Meezaan Jafri, Shilpa Shetty Kundra, Pranitha",Priyadarshan,Comedy,5.077,13.0
"Action, Drama, Thriller",Indian 2,"S.J. Suryah, Kamal Haasan, Rakul Preet Singh, Siddharth",S. Shankar,"Action, Drama, Thriller",0.0,0.0
"Crime, Thriller",Boom,"Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Padma Lakshmi",Kaizad Gustad,"Action, Drama, Thriller",5.3,18.0
"Action, Drama, Fantasy",Karan Arjun,"Rakhee Gulzar, Salman Khan, Shah Rukh Khan, Amrish Puri",Rakesh Roshan,"Action, Thriller",6.745,102.0
"Comedy, Drama, Romance",Shaandaar,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor",Vikas Bahl,"Comedy, Romance",4.4,57.0
"Action, Drama, History",Samrat Prithviraj,"Akshay Kumar, Sanjay Dutt, Manushi Chhillar, Sonu Sood",Chandra Prakash Dwivedi,"Action, Drama, History",7.028,18.0
"Action, Comedy, Drama",Bharat,"Salman Khan, Katrina Kaif, Sunil Grover, Tabu",Ali Abbas Zafar,"Drama, Action",6.322,59.0
"Action, Comedy, Horror",Laxmii,"Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar","Raghava Lawrence, Balakrishnan Thevar","Horror, Comedy",4.628,39.0
"Crime, Drama, Mystery",Aazam,"Jimmy Shergill, Abhimanyu Singh, Indraneil Sengupta, Sanjeev Tyagi",Shravan Tiwari,,3.0,1.0
"Comedy, Drama",Serious Men,"Nawazuddin Siddiqui, Nassar, Aakshath Das, Indira Tiwari","Sudhir Mishra, Sachin Krishn","Drama, Comedy",6.688,32.0
"Action, Comedy, Drama",Ishq,"Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol",Indra Kumar,"Comedy, Romance, Drama, Action",6.424,59.0
"Action, Drama",JGM (JanaGanaMana),"Vijay Deverakonda, Pooja Hegde, Janhvi Kapoor, Nayan Rosh T M",Puri Jagannadh,"Action, Adventure",0.0,0.0
"Action, Drama, Musical",Josh,"Shah Rukh Khan, Aishwarya Rai Bachchan, Chandrachur Singh, Sharad S. Kapoor",Mansoor Khan,,0.0,0.0
"Crime, Thriller",Footfairy,"Bhupesh Bandekar, Gulshan Devaiah, Sagarika Ghatge, Shonita Joshi",Kanishk Varma,"Crime, Thriller",3.6,4.0
"Action, Crime, Musical",C.I.D.,"Dev Anand, Shakila, Johnny Walker, K.N. Singh",Raj Khosla,"Comedy, Action",7.9,27.0
"Action, Drama, Mystery",Zinda,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly",Sanjay Gupta,"Action, Thriller",3.786,21.0
Comedy,Non Stop Dhamaal,"Annu Kapoor, Manoj Joshi, Rajpal Naurang Yadav, Asrani",Irshad Khan,Comedy,0.0,0.0
"Drama, Romance",Ishq-e-nadaan,"Deepika Amin, Hitesh Dave, Mrinal Dutt, Lara Dutta",Avishek Ghosh,"Comedy, Drama, Romance",6.0,5.0
"Drama, Romance",Fitoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhat",Abhishek Kapoor,"Romance, Drama",5.745,47.0
