genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Action, Crime, Drama",Jaal: The Trap,"Sunny Deol, Tabu, Reema Sen, Anupam Kher",Guddu Dhanoa,"Action, Drama",5.75,8.0
"Comedy, Drama, Romance",Sharaabi,"Amitabh Bachchan, Ranjeet Bedi, Bharat Bhushan, C.S. Dubey",Prakash Mehra,"Action, Adventure",10.0,1.0
"Comedy, Crime, Drama",Badmaa$h Company,"Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das",Parmeet Sethi,Crime,5.802,48.0
"Drama, Romance",Hamari Adhuri Kahani,"Emraan Hashmi, Vidya Balan, Rajkummar Rao, Sara Khan",Mohit Suri,Drama,6.282,39.0
"Comedy, Drama, Romance",Bad Boy,"Namashi Chakraborthy, Amrin Qureshi, Darshan Jariwala, Johny Lever",Rajkumar Santoshi,"Action, Crime, Thriller, Comedy",7.039,508.0
"Comedy, Drama",Doordarshan,"Manu Rishi Chadha, Mahie Gill, Dolly Ahluwalia, Shardul Rana",Gagan Puri,"Drama, Comedy",0.0,0.0
"Crime, Drama, Romance",Haasil,"Jimmy Shergill, Hrishitaa Bhatt, Irrfan Khan, Ashutosh Rana",Tigmanshu Dhulia,"Drama, Romance",7.1,12.0
"Comedy, Musical, Romance",Neal 'N' Nikki,"Uday Chopra, Tanishaa Mukerji, Abhishek Bachchan, Richa Pallod",Arjun Sablok,"Comedy, Romance",3.9,19.0
"Action, Drama, Romance",Bandhan,"Jackie Shroff, Salman Khan, Rambha, Ashwini Bhave","K. Muralimohana Rao, Rajesh Malik",Drama,6.0,1.0
"Action, Thriller",Hijack,"Shiney Ahuja, Mona Ambegaonkar, Ananya Chadha, Gananay Chadha",Kunal Shivdasani,"Thriller, Action",4.7,10.0
"Action, Crime, Drama",Fida,"Kareena Kapoor, Fardeen Khan, Shahid Kapoor, Kim Sharma",Ken Ghosh,"Thriller, Romance",5.2,17.0
"Horror, Mystery, Thriller",Cold Case,"Prithviraj Sukumaran, Aditi Balan, Lakshmi Priyaa Chandramouli, Anil Nedumangad",Tanu Balak,"Documentary, Crime",0.0,0.0
Comedy,Mastizaade,"Tusshar Kapoor, Vir Das, Sunny Leone, Govardhan Asrani",Milap Zaveri,"Romance, Comedy",2.917,24.0
"Crime, Drama",Ab Tak Chhappan,"Nana Patekar, Revathi, Yashpal Sharma, Mohan Agashe",Shimit Amin,"Crime, Drama",7.368,34.0
"Drama, Romance",Akele Hum Akele Tum,"Aamir Khan, Manisha Koirala, Master Adil, Deven Verma",Mansoor Khan,,6.0,2.0
"Comedy, Drama, Romance",Jab Pyaar Kisise Hota Hai,"Salman Khan, Twinkle Khanna, Johny Lever, Farida Jalal",Deepak Sareen,"Drama, Family, Comedy",5.889,18.0
"Action, Drama",Allah-Rakha,"Jackie Shroff, Shammi Kapoor, Waheeda Rehman, Biswajeet Chatterjee",Ketan Desai,,3.0,2.0
Horror,Bhaagamathie Full Hindi Dubbed Movie,"Jayaram, Asha Sharath, Murli Sharma, Anushka Shetty",Ashok G.,,,
"Drama, Family, Romance",Saathiya,"Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Tabu",Shaad Ali,"Romance, Drama",6.021,47.0
"Drama, Romance",Ankahi Kahaniya,"Abhishek Banerjee, T.J. Bhanu, Nikhil Dwivedi, Palomi Ghosh","Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari","Drama, Romance",6.5,12.0
"Action, Crime, Drama",Pudhu Pettai,"Dhanush, Sneha, Sonia Agarwal, Azhagam Perumal",K. Selvaraghavan,"Action, Drama, Crime",7.6,28.0
"Action, Drama, Thriller",Tejas,"Kangana Ranaut, Anshul Chauhan, Varun Mitra, Veenah Naair",Sarvesh Mewara,Drama,4.313,8.0
"Comedy, Romance",Shubh Mangal Saavdhan,"Ayushmann Khurrana, Bhumi Pednekar, Seema Pahwa, Anshul Chauhan",R.S. Prasanna,"Comedy, Romance",5.92,50.0
"Action, Drama, Thriller",Phantom,"Saif Ali Khan, Katrina Kaif, Sabyasachi Chakrabarty, Rajesh Tailang",Kabir Khan,Thriller,5.84,307.0
"Action, Comedy, Romance",Coolie No. 1,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi",David Dhawan,"Comedy, Drama",5.421,57.0
"Comedy, Drama, Romance",Aisha,"Sonam Kapoor, Abhay Deol, Karamjeet Madonna, Amrita Puri",Rajshree Ojha,Drama,7.1,15.0
"Drama, Mystery, Thriller",Gumnaam,"Nanda Karnataki, Manoj Kumar, Pran Sikand, Helen",Raja Nawathe,"Mystery, Thriller, Horror",6.147,17.0
Drama,Fire in the Mountains,"Vinamrata Rai, Chandan Bisht, Harshita Tiwari, Mayank Singh Jaira",Ajitpal Singh,Drama,8.0,2.0
"Action, Drama, Mystery",Yaar Gaddar,"Saif Ali Khan, Sweta, Somy Ali, Deven Bhojani",Umesh Mehra,"Crime, Action",5.2,4.0
"Action, Romance",Barsaat,"Bobby Deol, Twinkle Khanna, Raj Babbar, Mukesh Khanna",Rajkumar Santoshi,"Romance, Action",5.147,17.0
"Comedy, Drama",Heyy Babyy,"Akshay Kumar, Fardeen Khan, Riteish Deshmukh, Vidya Balan",Sajid Khan,"Comedy, Drama, Romance",5.905,95.0
"Comedy, Crime, Mystery",Dhol,"Sharman Joshi, Tusshar Kapoor, Kunal Kemmu, Rajpal Naurang Yadav","Priyadarshan, Aman Ullah",Comedy,6.2,40.0
"Comedy, Crime, Drama",Bahut Hua Sammaan,"Sanjay Mishra, Ram Kapoor, Raghav Juyal, Dibyendu Bhattacharya",Ashish R. Shukla,"Comedy, Crime, Drama",6.6,8.0
"Action, Crime, Drama",Lajja,"Manisha Koirala, Jackie Shroff, Madhuri Dixit, Ajay Devgn",Rajkumar Santoshi,Drama,7.0,1.0
"Horror, Mystery, Romance",Krishna Cottage,"Sohail Khan, Isha Koppikar, Anita Hassanandani Reddy, Rati Agnihotri",Santram Varma,"Thriller, Horror, Mystery",5.077,14.0
"Action, Crime, Drama",Jung,"Mithun Chakraborty, Ajay Devgn, Rambha, Vani Viswanath",Rama Rao Tatineni,"Drama, Action, Crime",7.0,2.0
"Action, Comedy, Crime",Nela Ticket,"Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj",Kalyan Krishna,"Action, Drama",4.6,10.0
Thriller,Pyasi Nigahen,"Birbal, Sahila Chaddha, Ajinkya Deo, Annu Kapoor",Kesar Matharu,"Horror, Thriller",10.0,1.0
Comedy,Veere Di Wedding,"Kareena Kapoor, Sonam Kapoor, Swara Bhasker, Shikha Talsania",Shashanka Ghosh,"Drama, Comedy",4.938,32.0
"Drama, Romance",Fire,"Shabana Azmi, Nandita Das, Karishma Jhalani, Ramanjeet Kaur",Deepa Mehta,"Drama, Romance",6.6,61.0
"Action, Crime, Drama",NH10,"Anushka Sharma, Neil Bhoopalam, Darshan Kumaar, Deepti Naval",Navdeep Singh,"Crime, Action, Adventure, Thriller",6.8,75.0
"Action, Biography, Drama",Gunjan Saxena: The Kargil Girl,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij","ALi Khan AK, Sharan Sharma","Action, Drama",7.4,74.0
"Crime, Thriller",Silence... Can You Hear It?,"Sahil Vaid, Saurrabh Kushwaha, Pankaj Anand, Manoj Bajpayee","Aban Bharucha Deohans, Tania Deohans","Thriller, Drama",5.8,13.0
"Action, Musical",Badass Ravikumar,"Prabhu Deva, Himesh Reshammiya, Sonia Kapoor",Himesh Reshammiya,"Action, Music",0.0,0.0
Action,Baap,"Lankesh Bhardwaj, Sanjay Dutt, Sunny Deol, Jackie Shroff",Vivek Chauhan,,0.0,0.0
"Crime, Mystery, Thriller",Khoj,"Vikram Chatterjee, Shataf Figar, Poonam Gurung, Arnab Bhattacharya",Arka Ganguly,,5.667,3.0
"Comedy, Drama, Musical",Jhoom Barabar Jhoom,"Abhishek Bachchan, Preity G Zinta, Bobby Deol, Lara Dutta",Shaad Ali,"Drama, Romance",3.8,31.0
"Comedy, Drama, Romance",Humshakals,"Saif Ali Khan, Riteish Deshmukh, Ram Kapoor, Bipasha Basu",Sajid Khan,Comedy,3.267,45.0
"Drama, Thriller, Action",Prahaar: The Final Attack,"Nana Patekar, Dimple Kapadia, Gautam Joglekar, Madhuri Dixit","Subhankar Ghosh, Nana Patekar",,6.9,9.0
"Action, Romance",Maine Dil Tujhko Diya,"Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","Sohail Khan, Azim Shaikh","Action, Drama, Romance",5.5,10.0
"Crime, Thriller",Raja Natwarlal,"Emraan Hashmi, Humaima Malik, Paresh Rawal, Kay Kay Menon",Kunal Deshmukh,"Thriller, Drama, Mystery, Crime",6.3,24.0
"Drama, Horror, Thriller",Chhorii,"Nushrratt Bharuccha, Mita Vashisht, Gracy Goswami, Rajesh Jais",Vishal Furia,"Horror, Thriller",5.875,16.0
"Action, Drama",Andhaa Kaanoon,"Rajinikanth, Hema Malini, Reena Roy, Amitabh Bachchan",Rama Rao Tatineni,Action,7.333,9.0
Drama,The Song of Scorpions,"Golshifteh Farahani, Irrfan Khan, Waheeda Rehman, Shashank Arora",Anup Singh,Drama,8.2,5.0
"Action, Crime, Drama",Ram Jaane,"Shah Rukh Khan, Juhi Chawla, Vivek Mushran, Pankaj Kapur",Rajiv Mehra,"Action, Crime",5.2,32.0
"Action, Mystery, Romance",Machine,"Kiara Advani, Rishabh Arora, Mustafa Burmawala, Shabbir Burmawala","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla, Abinash Rout",Documentary,6.5,2.0
"Comedy, Crime",Acting Ka Bhoot,"Aham Sharma, Rajni Katiyar, Saanand Verma, Ishtiyak Khan",Shashank Kumar,,,
"Action, Drama, Romance",Hamara Dil Aapke Paas Hai,"Anil Kapoor, Aishwarya Rai Bachchan, Sonali Bendre, Puru Rajkumar",Satish Kaushik,"Drama, Romance",5.708,12.0
"Drama, Musical, Romance",Pyaar Ishq Aur Mohabbat,"Arjun Rampal, Kirti Reddy, Suniel Shetty, Aftab Shivdasani",Rajiv Rai,"Romance, Drama",4.9,7.0
Action,Pantham,"Gopichand, Mehreen Pirzada, Ajay, Joy Badlani",K. Chakravarthy Reddy,"Drama, Action",5.5,2.0
"Comedy, Mystery",Kyaa Kool Hai Hum,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia",Sangeeth Sivan,Comedy,4.817,30.0
Drama,Hamid,"Talha Arshad Reshi, Vikas Kumar, Rasika Dugal, Sumit Kaul",Aijaz Khan,Drama,7.0,12.0
"Comedy, Musical, Romance",Apna Sapna Money Money,"Riteish Deshmukh, Shreyas Talpade, Riya Sen, Koena Mitra",Sangeeth Sivan,Comedy,5.206,17.0
"Action, Drama, Thriller",Daag: The Fire,"Sanjay Dutt, Chandrachur Singh, Mahima Chaudhry, Shakti Kapoor",Raj Kanwar,"Thriller, Action, Drama",5.5,6.0
"Action, Crime, Drama",The Killer,"Irrfan Khan, Emraan Hashmi, Priyanka Kothari, Bharti Achrekar","Hasnain Hyderabadwala, Raksha Mistry","Crime, Thriller",6.584,1922.0
Thriller,Mission Lion,"Tiger Shroff, Sara Ali Khan, Hiten Patel, Atul Sharma",Jagan Shakti,Action,2.8,4.0
"Crime, Thriller",Siren,"Praveer Shetty, Lasya Ponnu Ash, Achyuth Kumar, Pavitra Lokesh",Raja Venkiya,"Horror, Thriller",5.961,258.0
Drama,Laila Aur Satt Geet,"Navjot Randhawa, Sadakkit Bijran, Shahnawaz Bhat, Ranjit Khajuria",Pushpendra Singh,Drama,4.3,3.0
"Comedy, Crime, Drama",Oye Lucky! Lucky Oye!,"Abhay Deol, Paresh Rawal, Nitu Chandra, Archana Puran Singh",Dibakar Banerjee,"Action, Comedy",7.04,76.0
"Horror, Mystery, Thriller",Bhoot: Part One - The Haunted Ship,"Vicky Kaushal, Ashutosh Rana, Meher Vij, Akash Dhar",Bhanu Pratap Singh,"Horror, Thriller",5.6,24.0
"Biography, Drama, Sport",Shabaash Mithu,"Taapsee Pannu, Vijay Raaz, Geeta Agrawal Sharma, Sameer Dharmadhikari",Srijit Mukherji,"Drama, Family",6.0,11.0
"Action, Comedy, Drama",Hulchul,"Akshaye Khanna, Kareena Kapoor, Amrish Puri, Lakshmi",Priyadarshan,"Comedy, Romance, Action",6.586,58.0
"Biography, Drama",Saand Ki Aankh,"Taapsee Pannu, Bhumi Pednekar, Prakash Jha, Vineet Kumar Singh",Tushar Hiranandani,Drama,7.0,23.0
"Action, Drama, Romance",Vijaypath,"Ajay Devgn, Tabu, Suresh Oberoi, Reema Lagoo",Farogh Siddique,"Action, Drama, Romance",5.333,6.0
"Action, Drama",Kodiyil Oruvan,"Vijay Antony, Aathmika, Divya Prabha, Ramachandra Raju",Ananda Krishnan,"Action, Drama",5.0,2.0
"Action, Drama, History",Paltan,"Jackie Shroff, Arjun Rampal, Sonu Sood, Gurmeet Choudhary",J.P. Dutta,"War, Drama, Action",6.0,11.0
"Comedy, Drama, Musical",Rehnaa Hai Terre Dil Mein,"Madhavan, Saif Ali Khan, Dia Mirza, Vrajesh Hirjee",Gautham Vasudev Menon,"Drama, Romance",6.359,32.0
"Comedy, Drama, Family",Ta Ra Rum Pum,"Saif Ali Khan, Rani Mukerji, Jaaved Jaaferi, Ali Haji",Siddharth Anand,"Family, Comedy, Romance",6.172,67.0
"Comedy, Drama",Indoo Ki Jawani,"Kiara Advani, Aditya Seal, Mallika Dua, Kimsa Sok",Abir Sengupta,Comedy,3.6,8.0
"Biography, Comedy, Drama",The Dirty Picture,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah",Milan Luthria,"Comedy, Drama",6.295,78.0
"Action, Comedy",Pagalpanti,"Anil Kapoor, John Abraham, Ileana D'Cruz, Arshad Warsi",Anees Bazmee,"Comedy, Drama",0.0,0.0
"Drama, Musical, Romance",Dil Ka Rishta,"Arjun Rampal, Aishwarya Rai Bachchan, Priyanshu Chatterjee, Rakhee Gulzar",Naresh Malhotra,"Drama, Romance",6.488,40.0
"Action, Comedy, Romance",Khaali Peeli,"Ishaan Khattar, Ananya Panday, Sayeem Afran, Jaideep Ahlawat",Maqbool Khan,"Romance, Action, Comedy, Thriller",6.0,10.0
"Drama, Romance",Aandhi,"Suchitra Sen, Sanjeev Kumar, Om Shivpuri, Manmohan",Gulzar,"Romance, Drama",6.6,6.0
Drama,Shamitabh,"Amitabh Bachchan, Dhanush, Akshara Haasan, Abhinaya",R. Balki,"Comedy, Drama, Thriller",6.31,50.0
"Crime, Drama, Romance",Miss Lovely,"Nawazuddin Siddiqui, Niharika Singh, Anil George, Zeena Bhatia",Ashim Ahluwalia,"Drama, Crime",6.2,14.0
"Action, Drama",Vidhaata,"Tom Alter, Harbans Darshan M. Arora, Birbal, Krishan Dhawan",Subhash Ghai,"Action, Drama, Family",7.1,5.0
"Action, Drama, Musical",Pran Jaye Par Vachan Na Jaye,"Sunil Dutt, Rekha, Bindu Desai, Ranjeet Bedi",S. Ali Raza,Action,0.0,0.0
"Musical, Romance",Dil Ka Kya Kasoor,"Prithvi Vazir, Divya Bharti, Sanam, Laxmikant Berde",Lawrence D'Souza,"Romance, Drama",5.75,4.0
"Action, Comedy, Drama",Suhaag,"Ajay Devgn, Akshay Kumar, Karisma Kapoor, Nagma",Kuku Kohli,,5.3,10.0
"Action, Comedy, Drama",Raja Babu,"Govinda, Karisma Kapoor, Shakti Kapoor, Kader Khan",David Dhawan,"Comedy, Drama, Romance",5.775,20.0
Family,Parivartan,"Vineet Singh Chandel, Geeta Gopal Govekar, Ziya Seikh, Simmran Sharma",Pranav Vatsa,Drama,0.0,0.0
Drama,Tigers,"Emraan Hashmi, Geetanjali Thapa, Danny Huston, Khalid Abdalla",Danis Tanovic,"Drama, Thriller",7.2,19.0
"Musical, Romance, Drama",Aa Ab Laut Chalen,"Rajesh Khanna, Akshaye Khanna, Aishwarya Rai Bachchan, Suman Ranganath",Rishi Kapoor,"Drama, Romance",5.719,16.0
"Comedy, Drama, Family",Khubsoorat,"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala Jawalkar",Hrishikesh Mukherjee,"Drama, Family, Romance, Comedy",6.25,12.0
Action,Untitled SRK-Suhana-Marflix movie,"Amitabh Bachchan, Vidya Balan, Riteish Deshmukh, Sanjay Dutt",Sujoy Ghosh,,,
"Action, Drama, Romance",Rishtey,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty Kundra, Kaivalya Chheda",Indra Kumar,"Action, Drama",6.083,12.0
"Drama, Romance",Chaahat,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher",Mahesh Bhatt,Romance,1.0,1.0
"Action, Crime, Thriller",Aalavandhan,"Kamal Haasan, Raveena Tandon, Manisha Koirala, Kitu Gidwani",Suresh Krishna,Thriller,6.9,18.0
"Comedy, Crime, Romance",Shubh Mangal Zyada Saavdhan,"Ayushmann Khurrana, Jitendra Kumar, Gajraj Rao, Neena Gupta",Hitesh Kewalya,"Comedy, Romance",5.92,50.0
"Drama, Romance",One Night Stand,"Tanuj Virwani, Sunny Leone, Narendra Jetley, Aamir Ahmed",Jasmine D'Souza,Drama,5.607,107.0
"Drama, Action, Musical",Laawaris,"Amitabh Bachchan, Zeenat Aman, Rakhee Gulzar, Amjad Khan",Prakash Mehra,"Action, Drama",6.533,15.0
"Action, Drama",Dacait,"Rakhee Gulzar, Sunny Deol, Meenakshi Sheshadri, Suresh Oberoi",Rahul Rawail,"Action, Crime, Drama",4.75,4.0
"Crime, Drama, Thriller",Naam,"Nutan, Kumar Gaurav, Sanjay Dutt, Poonam Dhillon",Mahesh Bhatt,"Crime, Drama",6.75,4.0
Drama,Nishabd,"Amitabh Bachchan, Jiah Khan, Revathi, Nassar",Ram Gopal Varma,"Thriller, Horror",5.6,14.0
"Drama, Musical, Romance",Kadhalar Dinam,"Kunal, Sonali Bendre, Nassar, Goundamani",Kathir,,,
"Drama, Romance, Thriller",Sixteen,"Wamiqa Gabbi, Izabelle Leite, Mehak Manwani, Highphill Mathew","Raj Purohit, LAl Mohan",Drama,3.3,3.0
Drama,Lohardaga,"Priya Ambust, Raquib Arshad, Sanjay Barman, Amit Kumar Bhagat",Lal Vijay Shahdeo,,10.0,1.0
"Action, Crime, Drama",Sathyam,"Vishal, Nayanthara, Brahmanandam, Kota Srinivasa Rao",Rajsekhar,"Drama, Comedy",4.6,8.0
"Romance, Thriller",Salmon 3D,"Vijay Yesudas, Jonita Doda, Rajeev Pillai, Dhruvanth",Shalil Kallur,"Romance, Thriller",0.0,0.0
"Action, Crime, Drama",Gumrah,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy",Mahesh Bhatt,"Drama, Action, Crime",7.0,7.0
"Drama, Musical, Romance",Ijaazat,"Rekha, Naseeruddin Shah, Anuradha Patel, Rammohan Sharma",Gulzar,"Romance, Drama",6.5,8.0
Drama,Chimanee Pakhre,"Anand Abhyankar, Laxmikant Berde, Priya Arun Berde, Nagesh Bhonsle",Mahesh Kothare,,,
"Drama, Romance",Ek Vivaah... Aisa Bhi,"Isha Koppikar, Sonu Sood, Anand Abhyankar, Daman Baggan",Kaushik Ghatak,"Drama, Romance",6.833,6.0
"Comedy, Drama, Romance",Break Ke Baad,"Imran Khan, Deepika Padukone, Namit Shah, Parzaan Dastur",Danish Aslam,"Drama, Comedy, Romance",5.6,38.0
"Drama, Music",Rock On 2,"Farhan Akhtar, Shraddha Kapoor, Arjun Rampal, Purab Kohli",Shujaat Saudagar,"Music, Drama",4.5,11.0
"Musical, Romance",Indrasabha,"Nissar, Jehanara Kajjan, Abdul Rehman Kabuli, Mukhtar Begum",Jamahedji Jehangirji Madan,,0.0,0.0
"Biography, Crime, Drama",Maharaj,"Jaideep Ahlawat, Sharvari Wagh, Shalini Pandey, Mark Bennington",Malhotra P. Siddharth,"Drama, History",5.9,7.0
War,21: Battle of Saragarhi,"Randeep Hooda, Vikramjeet Virk, Apinderdeep Singh, Nitin Chauhan",Rajkumar Santoshi,,,
"Drama, Family, Thriller",Bumm Bumm Bole,"Atul Kulkarni, Rituparna Sengupta, Darsheel Safary, Ziyah Vastani",Priyadarshan,Drama,7.2,9.0
"Crime, Drama, Thriller",Anjaam,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever",Rahul Rawail,,6.0,1.0
Thriller,Hacked,"Hina Khan, Komal Chhabria, Sougata Ghosh, Rohan Shah",Vikram Bhatt,Thriller,6.147,17.0
"Drama, Horror",Dybbuk: The Curse Is Real,"Emraan Hashmi, Nikita Dutta, Manav Kaul, Imaaduddin Shah",Jay.k,"Horror, Thriller, Drama",5.6,11.0
"Drama, Family, Musical",Haathi Mere Saathi,"Rajesh Khanna, Tanuja Samarth, David Abraham, Sujit Kumar",M.A. Thirumugham,Drama,4.625,4.0
"Musical, Romance",Mausam,"Sanjeev Kumar, Sharmila Tagore, Om Shivpuri, Agha",Gulzar,"Romance, Drama",5.7,35.0
"Action, Comedy, Crime",Sardaar Gabbar Singh,"Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar, Sanjjanaa Galrani",K.S. Ravindra,"Comedy, Action",4.1,10.0
"Action, Crime, Drama",Vardi,"Sunny Deol, Jackie Shroff, Kimi Katkar, Madhuri Dixit",Umesh Mehra,Action,5.333,3.0
"Action, Thriller",Aag Ke Sholay,"Sumeet Saigal, Vijayata Pandit, Hemant Birje, Sripradha","S.R. Pratap, S.R. Pratap","Action, Thriller",0.0,0.0
"Drama, Family",Kacchey Limbu,"Sukhita Aiyar, Rajat Barmecha, Radhika Madan, Ayush Mehra",Shubham Yogi,Drama,5.5,4.0
"Comedy, Drama, Romance",Yeh Hai Jalwa,"Rishi Kapoor, Salman Khan, Ameesha Patel, Rati Agnihotri",David Dhawan,"Romance, Drama, Comedy",5.5,16.0
"Drama, Musical, Romance",Saawariya,"Ranbir Kapoor, Sonam Kapoor, Salman Khan, Rani Mukerji",Sanjay Leela Bhansali,"Drama, Music, Romance",5.5,81.0
"Drama, History",Emergency,"Anupam Kher, Kangana Ranaut, Satish Kaushik, Mahima Chaudhry",Kangana Ranaut,"Comedy, Drama, Thriller",6.06,216.0
"Comedy, Family, Fantasy",Makdee,"Shabana Azmi, Shweta Basu Prasad, Makrand Deshpande, Aalaap Majgavkar",Vishal Bhardwaj,"Family, Horror, Fantasy",6.684,19.0
Thriller,Black Rose,"Samiksha Bhatnagar, Abhilash Narain, Sanjana Shukla, Jai Shanker Tripathi","Hemant N Mishra, Sandeep Rampher Kumar","Action, Crime, Drama, Thriller",2.6,22.0
"Action, Drama",Kaalia,"Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan",Tinnu Anand,,7.3,3.0
"Drama, Musical, Romance",Prem Rog,"Shammi Kapoor, Nanda Karnataki, Tanuja Samarth, Vijayendra Ghatge",Raj Kapoor,"Drama, Music, Romance",7.167,12.0
"Action, Crime, Drama",Sarkar Raj,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Ravi Kale",Ram Gopal Varma,"Action, Adventure, Crime, Drama",6.526,39.0
"Drama, Horror, Mystery",Phoonk,"Sudeep, Amruta Khanvilkar, Ahsaas Channa, Ashwini Kalsekar",Ram Gopal Varma,"Horror, Thriller",4.9,4.0
"Drama, Horror",Gehrayee,"Shreeram Lagoo, Anant Nag, Indrani Mukherjee, Padmini Kolhapure","Vikas Desai, Aruna Raje","Horror, Drama",7.1,6.0
"Action, Comedy, Drama",Yamla Pagla Deewana,"Nafisa Ali, Yugesh Anil, Madhuri Bhattacharya, Bhupindder Bhoopii","Samir Karnik, Jeet Rataul","Comedy, Drama",3.889,9.0
Drama,Saajan Ka Ghar,"Rishi Kapoor, Juhi Chawla, Deepak Tijori, Farheen",Surendra Kumar Bohra,Drama,5.5,1.0
"Action, Adventure, Drama",Love Story 2050,"Harman Baweja, Priyanka Chopra Jonas, Boman Irani, Archana Puran Singh",Harry Baweja,"Science Fiction, Romance",2.879,29.0
"Action, Adventure, Thriller",Commando 2,"Vidyut Jammwal, Adah Sharma, Esha Gupta, Freddy Daruwala",Deven Bhojani,"Action, War",5.0,14.0
Drama,Mehsampur,"Lal Chand, Navjot Randhawa, Devrath Joshi, Jagjeet Sandhu",Kabir Singh Chowdhry,Drama,5.2,5.0
"Comedy, Drama, Family",Mere Brother Ki Dulhan,"Imran Khan, Katrina Kaif, Ali Zafar, Tara D'Souza",Ali Abbas Zafar,"Drama, Comedy, Romance",5.992,66.0
 ,12th Fail,"Perry Chhabra, Sam Mohan, Vikrant Massey, Priyanshu Chatterjee",Vidhu Vinod Chopra,Drama,8.139,108.0
"Comedy, Drama, Musical",Jaan-E-Mann: Let's Fall in Love... Again,"Salman Khan, Akshay Kumar, Preity G Zinta, Anupam Kher",Shirish Kunder,,,
"Drama, Romance",Umrao Jaan,"Aishwarya Rai Bachchan, Shabana Azmi, Suniel Shetty, Abhishek Bachchan",J.P. Dutta,"Romance, Drama",8.304,22.0
"Action, Crime, Drama",Dum Maaro Dum,"Abhishek Bachchan, Deepika Padukone, Bipasha Basu, Rana Daggubati",Rohan Sippy,"Action, Crime, Thriller",5.793,29.0
"Action, Crime, Thriller",Farz,"Jeetendra, Babita Kapoor, Aruna Irani, Kanchana",Ravikant Nagaich,"Action, Thriller, Crime",5.0,2.0
"Comedy, Drama",Sui Dhaaga: Made in India,"Anushka Sharma, Varun Dhawan, Siddharth Bhardwaj, Namit Das",Sharat Katariya,"Comedy, Drama, Family",7.0,77.0
"Action, Thriller",Om - The Battle Within,"Vicky Arora, Amit Ghosh, Armen Greyg, Abudhar Al Hassan",Kapil Verma,"Action, Thriller",5.4,7.0
Drama,Iftikhar,"Vicky Arora, Amit Ghosh, Armen Greyg, Abudhar Al Hassan",Kapil Verma,,,
"Action, Drama, Romance",Sohni Mahiwal,"Sunny Deol, Poonam Dhillon, Pran Sikand, Tanuja Samarth","Kanwal Biala, Latif Faiziyev, Umesh Mehra","Romance, Drama, Action",5.267,15.0
"Comedy, Drama",Cash,"Amol Parashar, Smriti Kalra, Gulshan Grover, Kavin Dave",Rishab Seth,Comedy,6.2,202.0
"Action, Adventure, Fantasy",Drona,"Jayshree Arora, Veer Arya, Abhishek Bachchan, Jaya Bachchan",Goldie Behl,Action,6.0,2.0
"Drama, Romance",Bewafaa,"Anil Kapoor, Akshay Kumar, Kareena Kapoor, Sushmita Sen",Dharmesh Darshan,Drama,4.531,16.0
"Drama, Family",Bazaar,"Farooq Shaikh, Smita Patil, Naseeruddin Shah, Supriya Pathak",Sagar Sarhadi,"Action, Crime",4.0,2.0
"Comedy, Crime, Drama",Why Cheat India,"Emraan Hashmi, Shreya Dhanwanthary, Snighdadeep Chatterji, Shubham Somu Srivastava",Soumik Sen,"Drama, Crime",5.5,18.0
"Drama, Family, Musical",Ek Phool Do Mali,"Sanjay Khan, Balraj Sahni, Sadhana Shivdasani, Durga Khote",Devendra Goel,,7.5,4.0
"Comedy, Drama, Romance",Salaam Namaste,"Saif Ali Khan, Preity G Zinta, Arshad Warsi, Jaaved Jaaferi",Siddharth Anand,"Comedy, Romance, Drama",6.077,84.0
"Drama, Romance",B.A. Pass 3,"Sunny Sachdeva, Armaan Sandhu, Ankita Sahu, Ankita Chouhan",Narendra Singh,,5.0,4.0
"Drama, Mystery, Thriller",Kasoor,"Divya Dutta, Lisa Ray, Apurva Agnihotri, Aftab Shivdasani",Vikram Bhatt,"Drama, Mystery, Thriller",5.273,11.0
"Action, Crime, Thriller",Players,"Vinod Khanna, Abhishek Bachchan, Bobby Deol, Bipasha Basu","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Romance, Comedy",6.068,236.0
