movieId,title,genres
243797,Kamasutra 3D,"Drama, Romance, Documentary"
7520,Cocktail,"Romance, Drama, Comedy"
48922,Jewel Thief,"Thriller, Crime, Drama"
91310,Deewana,Romance
41188,Bhagam Bhag,"Comedy, Thriller, Romance"
371483,Newton,
602971,Made in China,"Comedy, Drama"
168245,Kai po che!,Drama
461809,Babumoshai Bandookbaaz,"Action, Crime, Thriller"
276928,Humpty Sharma Ki Dulhania,"Drama, Comedy, Romance"
79210,Chatrapathi,"Drama, Action"
1188068,Kaminey,
34764,Karthik Calling Karthik,"Romance, Thriller"
84092,Ramayana: The Legend of Prince Rama,"Animation, Fantasy, Family, Action, Adventure"
9039,Trapped,"Action, Crime, Thriller, Drama"
479918,Qarib Qarib Singlle,"Comedy, Drama, Romance"
594669,Baaghi 3,"Action, Adventure, Thriller"
593083,Darbar,
695962,Bhool Bhulaiyaa 2,"Horror, Comedy"
398535,Udta Punjab,"Crime, Drama"
1059007,Agra,Drama
582375,Notebook,"Romance, Drama"
1033878,Tara vs Bilal,"Romance, Comedy, Drama"
139521,Matru Ki Bijlee Ka Mandola,"Comedy, Drama"
682401,Ek Villain Returns,"Action, Crime, Thriller"
10788,Kambakkht Ishq,"Action, Comedy, Drama, Romance"
19636,Garam Masala,Comedy
1065426,Metro.... In Dino,"Drama, Romance"
191562,Go Goa Gone,"Comedy, Horror"
33202,Jo Jeeta Wohi Sikandar,Drama
307878,Dhamaka,
46404,Manorama: Six Feet Under,"Thriller, Crime, Mystery, Drama"
897097,Cobalt Blue,"Romance, Drama"
774607,Antim: The Final Truth,Action
357563,Welcome Back,"Action, Comedy"
643534,Good Newwz,"Romance, Comedy, Family, Drama"
849281,Hum,Thriller
755812,New York,"Animation, TV Movie, Fantasy, Action"
320295,Detective Byomkesh Bakshy!,"Action, Mystery, Drama"
764081,Ram Setu,"Action, Adventure, Drama"
811941,Devara,"Action, Drama"
20492,Life in a Metro,Drama
370870,Aligarh,Drama
158346,Pink,"Romance, Drama, Comedy"
888268,Anek,"Action, Thriller"
399624,Befikre,"Romance, Comedy, Drama"
39839,Baghban,Drama
498598,Sonu Ke Titu Ki Sweety,"Romance, Comedy"
1099677,Kanjoos Makhichoos,"Comedy, Drama"
80484,Guide,"Romance, Drama"
441881,Tubelight,"Drama, War"
26910,Anbe Sivam,"Comedy, Drama"
4253,Hum Tum,"Romance, Family, Comedy, Drama"
165904,Special Chabbis,"Crime, Drama, Thriller"
915865,Mrs Undercover,"Action, Comedy, Thriller"
799713,Dasvi,"Drama, Comedy"
103243,Vicky Donor,"Comedy, Romance"
73582,Bodyguard,"Drama, Action, Romance"
413547,Kahaani 2,"Thriller, Mystery"
1038874,Malaikottai Vaaliban,"Action, Drama, Fantasy"
910587,Bellbottom,"Animation, Action, Crime, Music"
1243118,Kaagaz,Drama
45129,Salaam Bombay!,"Crime, Drama"
455470,Meri Pyaari Bindu,"Drama, Romance"
20360,Namastey London,"Comedy, Drama, Romance"
20294,Welcome,"Comedy, Romance, Crime, Family"
1163663,Baazigar,"Music, Crime, Comedy, Adventure"
262903,Main Tera Hero,"Romance, Comedy"
285803,Singham Returns,Action
401285,Jagga Jasoos,"Adventure, Comedy, Mystery, Romance"
788348,India Lockdown,"Drama, Adventure"
352205,Parched,Drama
814215,Sam Bahadur,"Drama, History, War"
25868,Aladin,"Fantasy, Drama, Romance, Adventure, Comedy"
393429,Hera Pheri 3,Comedy
215776,Madras Cafe,"Thriller, Drama, Action"
496320,Race 3,"Thriller, Action, Crime, Adventure"
601807,Mrs. Serial Killer,Thriller
336790,Any Body Can Dance 2,Drama
523277,Manmarziyaan,"Romance, Drama"
919031,Tiku weds Sheru,"Comedy, Drama, Family"
56969,Tere Naam,"Action, Drama, Romance, Thriller"
391779,Housefull 3,"Comedy, Romance"
441875,Toilet - Ek Prem Katha,"Comedy, Drama, Romance"
22315,Aitraaz,"Thriller, Romance"
259720,2 States,"Comedy, Romance, Drama"
1203899,Sadak,
674531,Bob Biswas,"Crime, Action, Thriller"
82698,Ladies vs. Ricky Bahl,"Comedy, Drama, Romance"
261016,Johny Mera Naam,"Thriller, Music, Action, Drama, Family"
20129,Johnny Gaddaar,"Crime, Drama, Mystery, Thriller"
1083651,Thunivu,Drama
596610,Photograph,"Drama, Romance"
14193,Tashan,"Action, Romance"
20929,Taal,"Drama, Romance"
496318,Krrish 4,"Action, Science Fiction"
798159,Hum Do Hamare Do,"Comedy, Drama, Family"
454292,Saaho,"Action, Adventure, Thriller"
391700,We Are Family,Comedy
85052,Housefull 2,"Comedy, Romance"
1274746,Baby,"Drama, Romance"
