Title,Vote_Average,Vote_Count,Weighted_Average
jab harry met sejal,6.5,179.0,6.398081057203858
munna michael,6.034,44.0,5.751608278383495
toilet: ek prem katha,6.8,185.0,6.68731566368209
mubarakan,6.3,41.0,5.9527847750865055
guest iin london,5.37,27.0,5.120256632064591
bareilly ki barfi,6.756,162.0,6.63047508043465
babumoshai bandookbaaz,6.3,23.0,5.757476211072665
yadvi – the dignified princess,0.0,0.0,4.371026528258363
qaidi band,6.0,2.0,4.667203523120478
shubh mangal saavdhan,5.92,50.0,5.683715911090259
raag desh,7.7,5.0,5.559945625308948
daddy,5.0,18.0,4.790342176086121
simran,4.9,22.0,4.746427056591138
lucknow central,6.4,29.0,5.919453651429613
a gentleman,0.0,0.0,4.371026528258363
viceroy's house,6.6,273.0,6.528862548774202
patel ki punjabi shaadi,6.7,3.0,4.953269896193772
newton,0.0,0.0,4.371026528258363
the final exit,0.0,0.0,4.371026528258363
bhoomi,6.0,26.0,5.581121107266436
haseena parkar,5.3,9.0,4.8355132641291805
jd,1.0,1.0,4.033923875432526
haraamkhor,5.7,28.0,5.376736182549331
poster boys,6.5,2.0,4.75811261402957
mom,5.4,23.0,5.110601211072664
chef,7.115,3182.0,7.107260808133602
ranchi diaries,0.0,0.0,4.371026528258363
babuji ek ticket bambai,0.0,0.0,4.371026528258363
rukh,0.0,0.0,4.371026528258363
secret superstar,7.297,159.0,7.140251421156698
aval,6.6,302.0,6.5354959445476695
ribbon,7.3,6.0,5.542615916955017
shaadi mein zaroor aana,6.943,70.0,6.649990363978801
jia aur jia,0.0,0.0,4.371026528258363
qarib qarib singlle,6.939,49.0,6.540521357833194
aksar 2,4.8,4.0,4.503018365717328
panchlait,0.0,0.0,4.371026528258363
tumhari sulu,6.366,41.0,6.006904775086505
julie 2,5.0,3.0,4.528269896193772
kadvi hawa,7.8,12.0,6.330439940682155
firangi,4.0,6.0,4.222615916955018
fukrey returns,6.5,49.0,6.169642047488367
monsoon shootout,6.5,17.0,5.763047644397125
ajji,6.6,18.0,5.857008842752788
chalk n duster,7.2,4.0,5.241479904178866
rebellious flower,6.0,3.0,4.778269896193772
saankal,0.0,0.0,4.371026528258363
airlift,7.099,187.0,6.973735912011864
sallu ki shaadi,0.0,0.0,4.371026528258363
irudhi suttru,7.4,51.0,6.945653979238755
kyaa kool hain hum 3,2.828,29.0,3.1934536514296123
mastizaade,2.917,24.0,3.313552689525008
dil jo na keh saka,0.0,0.0,4.371026528258363
jugni,6.5,4.0,5.026095288794251
ghayal: once again,5.932,21.0,5.463707958477509
fitoor,5.745,47.0,5.5241828348986655
sanam re,6.134,55.0,5.886081855536332
direct ishq,4.7,3.0,4.453269896193772
ishq forever,6.0,1.0,4.533923875432526
loveshhuda,8.7,3.0,5.453269896193771
neerja,7.3,216.0,7.1828410611303335
aligarh,6.9,45.0,6.478504421376393
bollywood diaries,6.0,1.0,4.533923875432526
love shagun,7.2,5.0,5.381374196737519
tere bin laden: dead or alive,4.8,10.0,4.59680203970133
jai gangaajal,5.308,13.0,4.924692670651148
kapoor & sons,7.0,167.0,6.8655638565586665
rocky handsome,6.423,65.0,6.173435658842234
love games,0.0,0.0,4.371026528258363
fan,6.283,244.0,6.214985133416306
nil battey sannata,7.2,39.0,6.669567474048443
laal rang,6.1,11.0,5.321961937716263
baaghi,6.376,125.0,6.241337602644219
global baba,3.7,3.0,4.203269896193772
shortcut safari,5.0,1.0,4.4339238754325265
the blueberry hunt,7.0,1.0,4.633923875432527
santa banta pvt ltd,3.8,6.0,4.142615916955018
traffic,7.061,2086.0,7.0494440280450235
1920: london,4.19,42.0,4.221945857927946
azhar,5.828,32.0,5.508176554983543
buddha in a traffic jam,7.2,10.0,5.859959934438172
murari the mad gentleman,0.0,0.0,4.371026528258363
dear dad,0.0,0.0,4.371026528258363
phobia,0.0,0.0,4.371026528258363
sarbjit,7.661,31.0,6.920755968858131
veerappan,5.9,5.0,4.917088482451804
do lafzon ki kahani,6.955,11.0,5.792211937716263
te3n,6.963,95.0,6.738694603406974
udta punjab,7.215,144.0,7.047707442838728
khel toh ab shuru hoga,4.0,1.0,4.333923875432527
luv u alia,3.0,3.0,4.028269896193772
7 hours to go,4.4,5.0,4.381374196737519
raman raghav 2.0,7.1,114.0,6.900319014262807
junooniyat,4.4,9.0,4.385513264129181
rough book,6.8,4.0,5.118402981101943
dhanak,7.4,45.0,6.89517108804306
fredrick,7.0,1.0,4.633923875432527
dil toh deewana hai,7.0,1.0,4.633923875432527
sultan,6.929,28.0,6.306790236603385
brahman naman,5.3,41.0,5.132784775086504
great grand masti,4.0,38.0,4.071047633070751
waiting,6.264,812.0,6.243248768275671
