Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
the age of innocence,daniel day-lewis michelle pfeiffer winona ryder alexis smith geraldine chaplin martin scorsese,drama romance,7.0,169.0,daniel day-lewis michelle pfeiffer winona ryder alexis smith geraldine chaplin martin scorsese drama romance
the fountain,hugh jackman rachel weisz ellen burstyn mark margolis stephen mchattie darren aronofsky,drama adventure science fiction romance,6.8,827.0,hugh jackman rachel weisz ellen burstyn mark margolis stephen mchattie darren aronofsky drama adventure science fiction romance
chill factor,cuba gooding jr. skeet ulrich peter firth david paymer daniel hugh kelly hugh johnson,action comedy thriller,5.3,29.0,cuba gooding jr. skeet ulrich peter firth david paymer daniel hugh kelly hugh johnson action comedy thriller
stolen,nicolas cage malin \u00c5kerman josh lucas sami gayle danny huston simon west,action crime drama thriller,5.1,344.0,nicolas cage malin \u00c5kerman josh lucas sami gayle danny huston simon west action crime drama thriller
崖の上のポニョ,yuria nara hiroki doi george tokoro tomoko yamaguchi yuki amami hayao miyazaki,animation family,7.5,926.0,yuria nara hiroki doi george tokoro tomoko yamaguchi yuki amami hayao miyazaki animation family
the longest ride,"scott eastwood britt robertson lolita davidovich melissa benoist jack huston george tillman, jr.",drama romance,7.3,1064.0,"scott eastwood britt robertson lolita davidovich melissa benoist jack huston george tillman, jr. drama romance"
the astronaut's wife,johnny depp charlize theron joe morton clea duvall nick cassavetes rand ravich,drama science fiction thriller,5.4,254.0,johnny depp charlize theron joe morton clea duvall nick cassavetes rand ravich drama science fiction thriller
i dreamed of africa,kim basinger vincent p\u00e9rez liam aiken daniel craig eva marie saint hugh hudson,romance drama adventure,5.3,18.0,kim basinger vincent p\u00e9rez liam aiken daniel craig eva marie saint hugh hudson romance drama adventure
playing for keeps,gerard butler jessica biel uma thurman catherine zeta-jones iqbal theba gabriele muccino,comedy romance,5.4,240.0,gerard butler jessica biel uma thurman catherine zeta-jones iqbal theba gabriele muccino comedy romance
mandela: long walk to freedom,idris elba naomie harris tony kgoroge riaad moosa fana mokoena justin chadwick,drama history,6.5,224.0,idris elba naomie harris tony kgoroge riaad moosa fana mokoena justin chadwick drama history
reds,warren beatty diane keaton edward herrmann jack nicholson jerzy kosinski warren beatty,drama history,7.1,67.0,warren beatty diane keaton edward herrmann jack nicholson jerzy kosinski warren beatty drama history
a few good men,tom cruise jack nicholson demi moore kevin bacon kevin pollak rob reiner,drama,7.1,877.0,tom cruise jack nicholson demi moore kevin bacon kevin pollak rob reiner drama
exit wounds,steven seagal dmx isaiah washington anthony anderson bill duke andrzej bartkowiak,action crime thriller,5.3,110.0,steven seagal dmx isaiah washington anthony anderson bill duke andrzej bartkowiak action crime thriller
big momma's house,martin lawrence nia long paul giamatti jascha washington terrence howard raja gosnell,crime comedy,5.6,506.0,martin lawrence nia long paul giamatti jascha washington terrence howard raja gosnell crime comedy
the house of magic,brianne siddall joey camen elisa gabrielli robin atkin downes shanelle workman ben stassen,family fantasy animation adventure,6.3,121.0,brianne siddall joey camen elisa gabrielli robin atkin downes shanelle workman ben stassen family fantasy animation adventure
the darkest hour,emile hirsch rachael taylor olivia thirlby joel kinnaman max minghella chris gorak,horror action thriller science fiction,4.8,469.0,emile hirsch rachael taylor olivia thirlby joel kinnaman max minghella chris gorak horror action thriller science fiction
step up revolution,kathryn mccormick ryan guzman stephen boss megan boone jessica guadix scott speer,music drama romance,6.7,663.0,kathryn mccormick ryan guzman stephen boss megan boone jessica guadix scott speer music drama romance
snakes on a plane,samuel l. jackson julianna margulies kenan thompson nathan phillips rachel blanchard david r. ellis,action crime horror thriller,5.1,497.0,samuel l. jackson julianna margulies kenan thompson nathan phillips rachel blanchard david r. ellis action crime horror thriller
the watcher,james spader keanu reeves marisa tomei ernie hudson chris ellis joe charbanic,mystery thriller,4.9,110.0,james spader keanu reeves marisa tomei ernie hudson chris ellis joe charbanic mystery thriller
the punisher,thomas jane john travolta will patton roy scheider laura harring jonathan hensleigh,action crime drama,6.1,766.0,thomas jane john travolta will patton roy scheider laura harring jonathan hensleigh action crime drama
goal!: the dream begins,kuno becker alessandro nivola anna friel stephen dillane gary lewis danny cannon,drama,6.6,238.0,kuno becker alessandro nivola anna friel stephen dillane gary lewis danny cannon drama
safe,jason statham chris sarandon james hong catherine chan robert john burke boaz yakin,action crime thriller,6.3,799.0,jason statham chris sarandon james hong catherine chan robert john burke boaz yakin action crime thriller
pushing tin,john cusack billy bob thornton cate blanchett angelina jolie gene dinovi mike newell,comedy drama,5.7,116.0,john cusack billy bob thornton cate blanchett angelina jolie gene dinovi mike newell comedy drama
return of the jedi,mark hamill harrison ford carrie fisher billy dee williams anthony daniels richard marquand,adventure action science fiction,7.9,4665.0,mark hamill harrison ford carrie fisher billy dee williams anthony daniels richard marquand adventure action science fiction
doomsday,rhona mitra bob hoskins malcolm mcdowell alexander siddig david o'hara neil marshall,action thriller science fiction,5.8,363.0,rhona mitra bob hoskins malcolm mcdowell alexander siddig david o'hara neil marshall action thriller science fiction
the reader,kate winslet ralph fiennes david kross jeanette hain bruno ganz stephen daldry,drama romance,7.2,813.0,kate winslet ralph fiennes david kross jeanette hain bruno ganz stephen daldry drama romance
wanderlust,paul rudd jennifer aniston justin theroux malin \u00c5kerman lauren ambrose david wain,comedy,5.3,394.0,paul rudd jennifer aniston justin theroux malin \u00c5kerman lauren ambrose david wain comedy
elf,will ferrell james caan zooey deschanel mary steenburgen daniel tay jon favreau,comedy family fantasy,6.4,987.0,will ferrell james caan zooey deschanel mary steenburgen daniel tay jon favreau comedy family fantasy
phenomenon,john travolta kyra sedgwick forest whitaker robert duvall jeffrey demunn jon turteltaub,drama fantasy romance science fiction,6.2,323.0,john travolta kyra sedgwick forest whitaker robert duvall jeffrey demunn jon turteltaub drama fantasy romance science fiction
snow dogs,jim belushi cuba gooding jr. james coburn m. emmet walsh sisq\u00f3 brian levant,adventure comedy family,5.3,185.0,jim belushi cuba gooding jr. james coburn m. emmet walsh sisq\u00f3 brian levant adventure comedy family
scrooged,bill murray karen allen john forsythe bobcat goldthwait carol kane richard donner,fantasy comedy drama,6.7,390.0,bill murray karen allen john forsythe bobcat goldthwait carol kane richard donner fantasy comedy drama
nacho libre,jack black ana de la reguera h\u00e9ctor jim\u00e9nez darius rose mois\u00e9s arias jared hess,comedy family,5.6,359.0,jack black ana de la reguera h\u00e9ctor jim\u00e9nez darius rose mois\u00e9s arias jared hess comedy family
bridesmaids,kristen wiig rose byrne maya rudolph wendi mclendon-covey ellie kemper paul feig,comedy romance,6.5,1661.0,kristen wiig rose byrne maya rudolph wendi mclendon-covey ellie kemper paul feig comedy romance
this is the end,james franco jonah hill seth rogen jay baruchel danny mcbride seth rogen,action comedy,6.3,2359.0,james franco jonah hill seth rogen jay baruchel danny mcbride seth rogen action comedy
stigmata,patricia arquette gabriel byrne jonathan pryce nia long thomas kopache rupert wainwright,horror,6.0,242.0,patricia arquette gabriel byrne jonathan pryce nia long thomas kopache rupert wainwright horror
men of honor,"robert de niro cuba gooding jr. charlize theron aunjanue ellis hal holbrook george tillman, jr.",drama,7.0,544.0,"robert de niro cuba gooding jr. charlize theron aunjanue ellis hal holbrook george tillman, jr. drama"
takers,chris brown hayden christensen matt dillon michael ealy idris elba john luessenhop,action crime drama thriller,6.0,394.0,chris brown hayden christensen matt dillon michael ealy idris elba john luessenhop action crime drama thriller
the big wedding,robert de niro diane keaton katherine heigl amanda seyfried topher grace justin zackham,comedy,5.7,414.0,robert de niro diane keaton katherine heigl amanda seyfried topher grace justin zackham comedy
"big mommas: like father, like son",martin lawrence brandon t. jackson portia doubleday mari morrow faizon love john whitesell,crime comedy action,5.3,313.0,martin lawrence brandon t. jackson portia doubleday mari morrow faizon love john whitesell crime comedy action
source code,jake gyllenhaal michelle monaghan vera farmiga russell peters michael arden duncan jones,thriller science fiction mystery,7.1,2699.0,jake gyllenhaal michelle monaghan vera farmiga russell peters michael arden duncan jones thriller science fiction mystery
alive,ethan hawke vincent spano josh hamilton bruce ramsay john newton frank marshall,action adventure drama thriller,6.7,374.0,ethan hawke vincent spano josh hamilton bruce ramsay john newton frank marshall action adventure drama thriller
the number 23,jim carrey virginia madsen logan lerman danny huston lynn collins joel schumacher,thriller drama mystery,6.3,1018.0,jim carrey virginia madsen logan lerman danny huston lynn collins joel schumacher thriller drama mystery
the young and prodigious t.s. spivet,kyle catlett helena bonham carter judy davis callum keith rennie niamh wilson jean-pierre jeunet,adventure drama family,6.7,232.0,kyle catlett helena bonham carter judy davis callum keith rennie niamh wilson jean-pierre jeunet adventure drama family
1941,dan aykroyd ned beatty john belushi lorraine gary murray hamilton steven spielberg,action comedy,5.6,143.0,dan aykroyd ned beatty john belushi lorraine gary murray hamilton steven spielberg action comedy
dreamer: inspired by a true story,kurt russell dakota fanning kris kristofferson elisabeth shue david morse john gatins,drama family,6.3,67.0,kurt russell dakota fanning kris kristofferson elisabeth shue david morse john gatins drama family
a history of violence,viggo mortensen maria bello heidi hayes ashton holmes william hurt david cronenberg,drama thriller crime,6.9,832.0,viggo mortensen maria bello heidi hayes ashton holmes william hurt david cronenberg drama thriller crime
