Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
tahkhana,"hemant birje, kamran rizvi, arti gupta, preeti sapru",horror,0.0,0.0,"hemant birje, kamran rizvi, arti gupta, preeti sapru horror"
bombay,"gavie chahal, deepshikha nagpal, danish bhatt, ganesh pai",,6.0,1.0,"gavie chahal, deepshikha nagpal, danish bhatt, ganesh pai "
king uncle,"jackie shroff, shah rukh khan, nagma, sushmita mukherjee","comedy, family",6.0,19.0,"jackie shroff, shah rukh khan, nagma, sushmita mukherjee comedy, family"
don,"nagarjuna akkineni, anushka shetty, raghava lawrence, nikhita","family, drama",8.2,4.0,"nagarjuna akkineni, anushka shetty, raghava lawrence, nikhita family, drama"
chhota bheem aur krishna: mayanagari,vatsal dubey,"animation, tv movie",6.1,5.0,"vatsal dubey animation, tv movie"
bedhadak,"lakshya, vikram bhatt, shanaya kapoor, gurfateh pirzada",romance,0.0,0.0,"lakshya, vikram bhatt, shanaya kapoor, gurfateh pirzada romance"
yaara,"vidyut jammwal, amit sadh, mohommed ali shah, kenny basumatary","family, drama, action",7.0,23.0,"vidyut jammwal, amit sadh, mohommed ali shah, kenny basumatary family, drama, action"
de de pyaar de,"ajay devgn, tabu, rakul preet singh, jimmy shergill","romance, comedy",6.0,45.0,"ajay devgn, tabu, rakul preet singh, jimmy shergill romance, comedy"
malaal,"meezaan jafri, sharmin segal, chinmayee surve, anil gawas","crime, drama",0.0,0.0,"meezaan jafri, sharmin segal, chinmayee surve, anil gawas crime, drama"
match of life,"rajpal naurang yadav, sudha chandran, pankaj berry, supriya karnik",comedy,0.0,0.0,"rajpal naurang yadav, sudha chandran, pankaj berry, supriya karnik comedy"
ek betuke aadmi ki afrah raatein,"pawan chakravarti, archanna guptaa, adil hussain, raghav jhingran",,,,"pawan chakravarti, archanna guptaa, adil hussain, raghav jhingran "
do dooni chaar,"rishi kapoor, neetu singh, aditi vasudev, archit krishna","drama, comedy",6.5,24.0,"rishi kapoor, neetu singh, aditi vasudev, archit krishna drama, comedy"
bhabhi,"bhanupriya, govinda, juhi chawla, gulshan grover",romance,1.0,1.0,"bhanupriya, govinda, juhi chawla, gulshan grover romance"
badal,"bobby deol, rani mukerji, mayuri kango, ashutosh rana",,6.0,1.0,"bobby deol, rani mukerji, mayuri kango, ashutosh rana "
badla sherni ka,"sapna sappu, amit pachori, junior johnny lever, anil nagrath",,,,"sapna sappu, amit pachori, junior johnny lever, anil nagrath "
awara pagal deewana 2,"akshay kumar, sanjay dutt, disha patani, dalip singh",,,,"akshay kumar, sanjay dutt, disha patani, dalip singh "
badnaam gali,"patralekhaa paul, divyendu sharma, dolly ahluwalia, paritosh sand","drama, comedy, family",6.2,8.0,"patralekhaa paul, divyendu sharma, dolly ahluwalia, paritosh sand drama, comedy, family"
vishwaroopam,"pooja kumar, miles anderson, kamal haasan, rahul bose","action, thriller",6.224,85.0,"pooja kumar, miles anderson, kamal haasan, rahul bose action, thriller"
unpaused,"gulshan devaiah, saiyami kher, richa chadha, ishwak singh","comedy, drama",6.3,9.0,"gulshan devaiah, saiyami kher, richa chadha, ishwak singh comedy, drama"
vedaat maratha veer daudale saat,"akshay kumar, pravin tarde, satya manjrekar, utkarsh shinde","drama, action, history, war",0.0,0.0,"akshay kumar, pravin tarde, satya manjrekar, utkarsh shinde drama, action, history, war"
victoria: ek rahasya,"pushkar jog, sonalee kulkarni, aashay kulkarni, heera sohal","horror, thriller",3.0,2.0,"pushkar jog, sonalee kulkarni, aashay kulkarni, heera sohal horror, thriller"
tum mere ho,"aamir khan, juhi chawla, ajit vachani, sudhir pandey","fantasy, horror, romance",5.2,5.0,"aamir khan, juhi chawla, ajit vachani, sudhir pandey fantasy, horror, romance"
jaani dushman: ek anokhi kahani,"sunny deol, arman kohli, manisha koirala, akshay kumar","action, fantasy, thriller",4.34,25.0,"sunny deol, arman kohli, manisha koirala, akshay kumar action, fantasy, thriller"
amar akbar anthony,"vinod khanna, rishi kapoor, amitabh bachchan, shabana azmi","action, comedy, drama",6.848,66.0,"vinod khanna, rishi kapoor, amitabh bachchan, shabana azmi action, comedy, drama"
spirit,"shahid kapoor, prabhas, olivia morris, trisha krishnan","action, drama",0.0,0.0,"shahid kapoor, prabhas, olivia morris, trisha krishnan action, drama"
khamoshi: the musical,"manisha koirala, nana patekar, salman khan, seema biswas","drama, romance",6.714,21.0,"manisha koirala, nana patekar, salman khan, seema biswas drama, romance"
teesri kasam,"raj kapoor, waheeda rehman, dulari, iftekhar","romance, comedy, drama",6.286,7.0,"raj kapoor, waheeda rehman, dulari, iftekhar romance, comedy, drama"
pati patni aur woh,"kartik aaryan, bhumi pednekar, ananya panday, aparshakti khurana","comedy, romance",6.271,35.0,"kartik aaryan, bhumi pednekar, ananya panday, aparshakti khurana comedy, romance"
